"","x"
"1593",1
"653",1
"465",3
"1205",1
"1922",2
"1869",1
"2323",5
"962",3
"1334",1
"846",1
"1232",1
"667",1
"2182",3
"499",2
"1688",1
"1675",2
"1165",1
"2155",1
"2010",1
"1514",1
"1678",1
"1231",1
"1278",1
"9",1
"802",2
"780",1
"1116",1
"849",1
"2106",4
"2367",1
"1644",1
"1208",1
"195",1
"1207",1
"1012",5
"1175",2
"191",1
"822",1
"80",1
"1252",1
"296",4
"1534",1
"2251",1
"1272",1
"372",2
"1107",1
"1797",1
"264",1
"1154",2
"785",1
"1142",1
"1305",1
"1560",4
"2309",3
"669",4
"2283",1
"489",1
"1384",1
"1713",2
"637",1
"590",5
"278",1
"165",3
"10",4
"457",1
"520",1
"1924",1
"818",1
"238",4
"618",1
"1926",1
"403",1
"1806",1
"2085",1
"1810",2
"1859",3
"466",1
"760",1
"1228",1
"1362",2
"1995",1
"490",1
"700",1
"717",1
"544",1
"1255",1
"1303",1
"2355",3
"1215",1
"1831",4
"915",1
"352",1
"1768",3
"20",4
"1986",2
"464",4
"838",2
"569",5
"102",1
"1707",1
"2289",1
"816",3
"1443",1
"1547",1
"657",2
"2024",2
"1032",4
"424",4
"1321",1
"1203",2
"2293",1
"162",2
"1519",1
"345",1
"94",1
"1054",1
"1073",1
"888",1
"96",1
"1174",1
"1430",1
"1887",1
"144",3
"1900",1
"1877",1
"1413",3
"622",1
"251",3
"966",2
"1445",4
"91",1
"1738",4
"293",1
"904",4
"1257",4
"1136",4
"1612",1
"291",4
"2314",1
"715",1
"1989",2
"998",2
"974",3
"970",4
"1963",4
"2110",4
"1600",3
"242",1
"615",1
"1817",4
"2142",1
"1823",3
"1085",1
"1966",1
"1155",3
"73",1
"798",1
"639",1
"595",1
"663",1
"723",1
"297",1
"732",1
"2177",1
"1284",1
"2169",1
"886",1
"705",3
"288",1
"598",1
"1186",2
"1503",1
"184",2
"666",1
"1139",1
"38",2
"1723",1
"131",3
"929",1
"1133",1
"1050",1
"2384",3
"1480",1
"1961",1
"259",4
"742",2
"677",2
"612",1
"2369",3
"1624",1
"633",1
"701",1
"1468",1
"473",1
"1423",1
"524",3
"1271",1
"2288",1
"1937",1
"588",2
"246",1
"945",3
"586",2
"839",4
"1351",1
"1885",1
"1102",1
"856",1
"1641",1
"190",1
"1446",1
"1982",2
"1466",1
"659",3
"744",1
"197",1
"208",1
"1872",4
"2149",2
"228",1
"386",1
"2371",1
"181",1
"2269",1
"2004",4
"2071",1
"155",1
"357",4
"2320",1
"1596",2
"1104",2
"2104",2
"943",2
"1570",2
"2258",1
"2043",1
"658",1
"412",4
"1721",1
"356",1
"1647",1
"1442",1
"1659",3
"1222",4
"1711",1
"1968",1
"109",1
"526",3
"2236",1
"1199",1
"1035",4
"1586",2
"912",3
"123",1
"55",2
"283",1
"766",3
"127",3
"1930",3
"1279",1
"1955",1
"409",4
"1676",1
"2073",1
"2102",1
"1210",1
"185",1
"1493",1
"2365",1
"70",1
"969",1
"68",4
"2050",1
"2373",1
"1374",1
"1172",1
"1566",4
"1979",1
"477",1
"964",4
"2261",1
"49",4
"1957",1
"1081",3
"1991",1
"825",3
"1119",1
"946",2
"582",1
"391",1
"1327",1
"1315",1
"1847",1
"719",4
"2156",3
"1160",2
"2174",3
"1875",1
"2134",1
"2015",1
"1452",1
"2316",1
"2052",1
"1798",1
"168",3
"1551",1
"2319",1
"487",1
"29",2
"2140",1
"2229",3
"2037",1
"836",1
"2186",3
"597",1
"2393",1
"2031",1
"1630",1
"2372",1
"1489",2
"995",2
"925",1
"702",3
"2383",1
"460",1
"136",1
"608",1
"1652",2
"983",4
"2324",1
"878",1
"664",1
"536",3
"877",1
"273",1
"1696",2
"1100",1
"571",1
"16",1
"1754",1
"2290",1
"690",1
"895",1
"893",2
"748",1
"2235",1
"1735",4
"1475",1
"1111",1
"488",3
"21",1
"1516",2
"1352",1
"1069",2
"2201",3
"1086",1
"2165",2
"279",1
"1372",1
"926",4
"1825",1
"255",1
"37",1
"1337",2
"551",1
"2105",1
"1455",1
"1402",4
