q24r1,avg_q24r2r3,avg_q25r1r2r3,q26r3,q26r4,q26r5,X,clusterresults.cluster,numdata$q1
6,4.5,3,2,6,2,1736,1,6
1,1,1,1,1,1,1307,2,3
5,1.5,4.333333333,1,1,5,1158,1,3
4,2,3.666666667,2,4,2,1722,1,3
5,2,4,3,4,2,950,1,9
2,2,1.333333333,2,2,4,244,2,2
1,1,3,1,3,3,670,2,4
2,3,2,1,2,1,2243,2,5
4,1.5,1.666666667,1,3,5,1241,1,3
3,3,2.666666667,3,3,3,418,3,4
6,2,2,3,4,3,1080,1,4
4,2,3.333333333,2,1,3,1488,1,4
4,1,4,1,4,3,976,1,6
5,2.5,2,3,1,5,1660,1,2
4,1,2,2,4,2,1040,1,3
6,1,1,1,3,1,2152,1,2
2,2,3.666666667,3,3,4,2018,3,9
3,2,2,3,4,3,2063,3,6
