Date,Order
2019-06-21,27512
2019-06-22,47559
2019-06-23,403
2019-06-24,17367
2019-06-25,17399
2019-06-26,19869
2019-06-27,16691
2019-06-28,17480
2019-06-29,62928
2019-06-30,338
2019-07-01,19235
2019-07-02,44391
2019-07-03,14511
2019-07-04,2731
2019-07-05,13150
2019-07-06,39997
2019-07-07,528
2019-07-08,19703
2019-07-09,21879
2019-07-10,24216
2019-07-11,15261
2019-07-12,17395
2019-07-13,34092
2019-07-14,585
2019-07-15,33200
2019-07-16,18163
2019-07-17,20623
2019-07-18,13136
2019-07-19,12724
2019-07-20,35915
2019-07-21,452
2019-07-22,10770
2019-07-23,70820
2019-07-24,-727
2019-07-25,18767
2019-07-26,19072
2019-07-27,18919
2019-07-28,356
2019-07-29,20969
2019-07-30,14571
2019-07-31,9738
2019-08-01,12585
2019-08-02,14499
2019-08-03,61903
2019-08-04,386
2019-08-05,13018
2019-08-06,18630
2019-08-07,9713
2019-08-08,10996
2019-08-09,11196
2019-08-10,31736
2019-08-11,473
2019-08-12,10792
2019-08-13,14234
2019-08-14,10981
2019-08-15,12753
2019-08-16,13934
2019-08-17,50541
2019-08-18,1206
2019-08-19,13788
2019-08-20,21301
2019-08-21,14616
2019-08-22,12527
2019-08-23,14686
2019-08-24,44649
2019-08-25,479
2019-08-26,24220
2019-08-27,15504
2019-08-28,21228
2019-08-29,19297
2019-08-30,11682
2019-08-31,55981
2019-09-01,558
2019-09-02,2757
2019-09-03,12301
2019-09-04,19726
2019-09-05,11434
2019-09-06,19972
2019-09-07,52349
2019-09-08,657
2019-09-09,8508
2019-09-10,8228
2019-09-11,9498
2019-09-12,15190
2019-09-13,25177
2019-09-14,22625
2019-09-15,310
2019-09-16,13059
2019-09-17,32606
2019-09-18,11461
2019-09-19,24611
2019-09-20,36151
2019-09-21,50134
2019-09-22,439
2019-09-23,13370
2019-09-24,14027
2019-09-25,16630
2019-09-26,16004
2019-09-27,12407
2019-09-28,61610
2019-09-29,487
2019-09-30,29952
2019-10-01,12876
2019-10-02,18116
2019-10-03,8726
2019-10-04,18867
2019-10-05,59743
2019-10-06,9047
2019-10-07,17677
2019-10-08,20740
2019-10-09,12672
2019-10-10,23210
2019-10-11,23095
2019-10-12,32410
2019-10-13,643
2019-10-14,15529
2019-10-15,17147
2019-10-16,29128
2019-10-17,19027
2019-10-18,17665
2019-10-19,70637
2019-10-20,424
2019-10-21,19416
2019-10-22,28855
2019-10-23,12501
2019-10-24,15006
2019-10-25,16008
2019-10-26,38357
2019-10-27,373
2019-10-28,23642
2019-10-29,12501
2019-10-30,21549
2019-10-31,20179
2019-11-01,18302
